Brand,Title,Planet,People,Animals,Overall Rating,Description
Chi Chi London,"Chi Chi London aims to bring catwalk fashion direct to the high street with a gorgeous range of cocktail, prom, evening and maxi dresses.",2 out of 5,1 out of 5,5 out of 5,Not good enough,"Chi London's environment rating is 'not good enough'. It does not use eco-friendly materials. There is no evidence it minimises textile waste. It uses packaging that can be recycled. There is no evidence it reduces its carbon and other greenhouse gas emissions in its supply chain.
Its labour rating is 'very poor'. It does not publish sufficient relevant information about its labour policies to give a higher rating. As a shopper you have the right to know how its products impact on its workers.
Its animal rating is 'great'. It states that its entire product range is vegan.
Chi London is rated 'Not good enough' overall.
Last Updated: August 2020"
VERO MODA,VERO MODA is not taking adequate steps to ensure payment of a living wage for its workers.,2 out of 5,2 out of 5,2 out of 5,Not good enough,"VERO MODA is owned by BESTSELLER.
Its environment rating is 'not good enough'. It uses some eco-friendly materials including organic cotton. It has set an absolute target to reduce greenhouse gas emissions generated from its own operations but it has not set a supply chain target. There is no evidence it minimises textile when manufacturing its products. It complies with its own Restricted Substances List but there is no evidence that it has taken meaningful action to reduce or eliminate hazardous chemicals.
Its labour rating is 'not good enough'. None of its supply chain is certified by labour standards which ensure worker health and safety, living wages or other labour rights. It received a score of 21-30% in the Fashion Transparency Index. It likely publishes information about its supplier policies, audits and remediation processes. It does not publish a comprehensive list of suppliers or information about forced labour, gender equality or freedom of association. There is no evidence it ensures payment of a living wage in its supply chain. It does not disclose adequate policies or safeguards to protect suppliers and workers in its supply chain from the impacts of COVID-19.
Its animal rating is 'not good enough'. It has a basic formal policy to protect animal welfare. It uses leather and exotic animal hair. It states that it sources wool from non-mulesed sheep. It does not use fur, down, exotic animal skin or angora. There is no evidence it traces any animal product to the first stage of production.
VERO MODA is rated 'Not good enough' overall.
Last Updated: August 2020"
Masterpeace,"Inspired by the richness of ancient Russian fine arts and crafts, the Masterpeace collection is an avantgarde reinvention of its nation's noble heritage, preserving 100% of its eccentricity.",2 out of 5,2 out of 5,4 out of 5,Not good enough,"Masterpeace's environment rating is 'not good enough'. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. It makes products by hand to reduce its climate impact. There is no evidence it implements water reduction initiatives. There is no evidence it minimises packaging.
Its labour rating is 'not good enough'. There is no evidence it has a Code of Conduct. There is no evidence it investigates and reports on safety incidents. There is no evidence it ensures payment of a living wage in its supply chain. It traces some of its supply chain.
Its animal rating is 'good'. It does not use fur, leather, down, exotic animal skin, exotic animal hair or angora. It uses wool and silk.
Masterpeace is rated 'Not good enough' based on information from our own research.
Last Updated: November 2019"
Brandon Maxwell,"Brandon Maxwell is a luxury women's ready-to-wear label, born out of the desire to make women feel sophisticated with timeless garments.",2 out of 5,2 out of 5,2 out of 5,Not good enough,"Brandon Maxwell's environment rating is 'not good enough'. It does not publish sufficient relevant information about its environmental policies to give a higher rating. As a shopper you have the right to know how its production practices impact on the environment.
Its labour rating is 'not good enough'. Its final stage of production is undertaken in the USA and Italy, medium risk countries for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. There is no evidence it audits any of its supply chain.
Its animal rating is 'not good enough'. It uses leather, wool, exotic animal skin and exotic animal hair. It does not use fur, down or angora.
Brandon Maxwell is rated 'Not good enough' based on information from our own research.
Last Updated: March 2020"
Lane Bryant,Lane Bryant does not communicate sufficient information about its environmental policies,1 out of 5,2 out of 5,4 out of 5,Not Good Enough,"Lane Bryant is owned by the parent company Ascena Retail Group Inc.
Its environment rating is 'very poor'. It does not publish sufficient relevant information about its environmental policies to give a higher rating. As a shopper you have the right to know how its products impact on the environment.
Its labor rating is 'not good enough'. It is taking steps to create a robust Supplier Code of Conduct which only applies across the final stage of production. However it does not address worker empowerment and it sources from countries with high or extreme risk of labor abuse. It does not adequately trace suppliers in its supply chain or publicly share a list of its suppliers. There is also no evidence that it provides a living wage for it workers. It self-audits some of its supply chain and it uses unannounced audits.
Its animal rating is 'good'. It does not use fur, leather, down, angora or any exotic animal skin or hair. However It uses wool without stating its sources.
Lane Bryant is rated 'Not Good Enough' based on information from our own research.
Last Updated: March 2017"
Mark Cross,Mark Cross' luxury bag collections are inspired by a rich American heritage and dedication to fine craftsmanship.,2 out of 5,2 out of 5,2 out of 5,Not good enough,"Mark Cross' environment rating is 'not good enough'. It does not publish sufficient relevant information about its environmental policies to give a higher rating. As a shopper you have the right to know how its production practices impact on the environment.
Its labour rating is 'not good enough'. Its final stage of production is undertaken in Italy, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. There is no evidence it audits any of its supply chain.
Its animal rating is 'not good enough'. It uses leather and exotic animal skin. It does not use fur, wool, down, exotic animal hair or angora.
Mark Cross is rated 'Not good enough' based on information from our own research.
Last Updated: December 2019"
City Chic,City Chic does not communicate sufficient information about its environmental policies,2 out of 5,2 out of 5,2 out of 5,Not good enough,"City Chic is owned by Specialty Fashion Group. Its environment rating is 'not good enough'. It does not publish sufficient relevant information about its environment policies to give a higher rating. As a shopper you have the right to know how its products impact on the environment.
Its labour rating is 'not good enough' based on the 2018 Ethical Fashion Report. This looks at criteria including payment of a living wage, transparency and worker empowerment. It received the top score for its Supplier Code of Conduct included in its supplier contracts. It traces most of its supply chain including all of its final stage, most of its inputs and some or none of its raw material stages. It may publicly list some of its suppliers and it ensures that no subcontracting occurs or that all subcontracted production adheres to code standards. It audits some of its traced facilities over a two-year period across parts of its supply chain. It has minimal worker empowerment initiatives across its supply chain. It has made little to no progress towards paying a living wage. It is a signatory of the Bangladesh Building and Fire Safety Accord.
Its animal rating is 'not good enough'. It does not use angora or fur but uses wool and leather without specifying sources.
City Chic is rated 'Not Good Enough' based on information from the 2018 Ethical Fashion Report and our own research.
Last Updated: April 2018"
Jay Jays,Jay Jays does not provide sufficient information about its environmental policies,1 out of 5,2 out of 5,5 out of 5,Not Good Enough,"Jay Jays is owned by Just Group.
Its environment rating is very poor'. It does not publish sufficient relevant information about its environmental policies to give a higher rating. As a shopper you have the right to know how its production practices impacts on the environment.
Its labour rating is not good enough' based on the 2017 Ethical Fashion Report. This looks at criteria including payment of a living wage, transparency and worker empowerment. It received the top score for its Supplier Code of Conduct included in its supplier contracts. It also traces most of its supply chain including all of its final stage, most of its inputs and some or none of its raw material stages. It publicly lists some of its suppliers and ensures that no subcontracting occurs or that all subcontracted production adheres to code standards. It audits some of its traced facilities over a two-year period across parts of its supply chain. However it has very few worker empowerment initiatives and it received a poor score in relation to implementing a living wage or improving wages across its supply chain.
Its animal rating is Great. It does not use any animal products.
Jay Jays is rated Not Good Enough' based on information from the 2017 Ethical Fashion Report and our own research.
Last Updated: September 2017"
Rivers,Rivers does not communicate sufficient information about its environmental policies,2 out of 5,2 out of 5,2 out of 5,Not good enough,"Rivers is owned by Specialty Fashion Group.
Its environment rating is 'not good enough'. It does not publish sufficient relevant information about its environment policies to give a higher rating. As a shopper, you have the right to know how its products impact on the environment.
Its labour rating is 'not good enough' based on the 2018 Ethical Fashion Report. This looks at criteria including payment of a living wage, transparency and worker empowerment. It received the top score for its Supplier Code of Conduct included in its supplier contracts. It traces most of its supply chain including all of its final stage, most of its inputs and some or none of its raw material stages. It may publicly list some of its suppliers and it ensures that no subcontracting occurs or that all subcontracted production adheres to code standards. It audits some of its traced facilities over a two-year period across parts of its supply chain. It has minimal worker empowerment initiatives across its supply chain. It has made little to no progress towards paying a living wage. It is a signatory of the Bangladesh Building and Fire Safety Accord.
Its animal rating is 'not good enough'. It does not use angora or fur but uses wool and leather without specifying sources.
Rivers is rated 'Not Good Enough' based on information from the 2018 Ethical Fashion Report and our own research.
Last Updated: April 2018"
Katies,Katies does not communicate sufficient information about its environmental policies,2 out of 5,2 out of 5,2 out of 5,Not good enough,"Katies is owned by Specialty Fashion Group.
Its environment rating is 'not good enough'. It does not publish sufficient relevant information about its environment policies to give a higher rating. As a shopper you have the right to know how its products impact on the environment.
Its labour rating is 'not good enough' based on the 2018 Ethical Fashion Report. This looks at criteria including payment of a living wage, transparency and worker empowerment. It received the top score for its Supplier Code of Conduct included in its supplier contracts. It traces most of its supply chain including all of its final stage, most of its inputs and some or none of its raw material stages. It may publicly list some of its suppliers and it ensures that no subcontracting occurs or that all subcontracted production adheres to code standards. It audits some of its traced facilities over a two-year period across parts of its supply chain. It has minimal worker empowerment initiatives across its supply chain. It has made little to no progress towards paying a living wage. It is a signatory of the Bangladesh Building and Fire Safety Accord.
Its animal rating is 'not good enough'. It does not use angora or fur but uses wool and leather without specifying sources.
Katies is rated 'Not Good Enough' based on information from the 2018 Ethical Fashion Report and our own research.
Last Updated: April 2018"
Autograph,Autograph does not communicate sufficient information about its environmental policies,2 out of 5,2 out of 5,2 out of 5,Not good enough,"Autograph is owned by Specialty Fashion Group.
Its environment rating is 'not good enough'. It does not publish sufficient relevant information about its environment policies to give a higher rating. As a shopper you have the right to know how its products impact on the environment.
Its labour rating is 'not good enough' based on the 2018 Ethical Fashion Report. This looks at criteria including payment of a living wage, transparency and worker empowerment. It received the top score for its Supplier Code of Conduct included in its supplier contracts. It traces most of its supply chain including all of its final stage, most of its inputs and some or none of its raw material stages. It may publicly list some of its suppliers and it ensures that no subcontracting occurs or that all subcontracted production adheres to code standards. It audits some of its traced facilities over a two-year period across parts of its supply chain. It has minimal worker empowerment initiatives across its supply chain. It has made little to no progress towards paying a living wage. It is a signatory of the Bangladesh Building and Fire Safety Accord.
Its animal rating is 'not good enough'. It does not use angora or fur but uses wool and leather without specifying sources. Autograph is rated 'Not Good Enough' based on information from the 2018 Ethical Fashion Report and our own research.
Last Updated: April 2018"
Kate Spade,Kate Spade uses angora and lacks transparency in its labour and environmental practices,1 out of 5,2 out of 5,2 out of 5,Not good enough,"Kate Spade's environment rating is 'very poor'. It does not publish sufficient relevant information about its environmental policies to give a higher rating. As a shopper you have the right to know how its production practices impact on the environment.
. Its labour rating is 'not good enough'. There is no evidence of a Code of Conduct. It sources its final stage of production from countries with extreme risk of labour abuse. There is no evidence it ensures payment of a living wage in its supply chain. It traces some of its supply chain including all of the final stage of production. It audits its final stage of production.
. Its animal rating is 'not good enough'. It uses leather, wool and exotic animal hair. It does not use fur, exotic animal skin and down.
Kate Spade is rated 'Not good enough' based on information from our own research.
Last Updated: August 2018"
VILA,VILA is not taking adequate steps to ensure payment of a living wage for its workers.,2 out of 5,2 out of 5,2 out of 5,Not good enough,"VILA is owned by BESTSELLER.
Its environment rating is 'not good enough'. It uses some eco-friendly materials including recycled materials. It has set an absolute target to reduce greenhouse gas emissions generated from its own operations but it has not set a supply chain target. There is no evidence it minimises textile when manufacturing its products. It complies with its own Restricted Substances List but there is no evidence that it has taken meaningful action to reduce or eliminate hazardous chemicals.
Its labour rating is 'not good enough'. None of its supply chain is certified by labour standards which ensure worker health and safety, living wages or other labour rights. It received a score of 21-30% in the Fashion Transparency Index. It likely publishes information about its supplier policies, audits and remediation processes. It does not publish a comprehensive list of suppliers or information about forced labour, gender equality or freedom of association. There is no evidence it ensures payment of a living wage in its supply chain. It does not disclose adequate policies or safeguards to protect suppliers and workers in its supply chain from the impacts of COVID-19.
Its animal rating is 'not good enough'. It has a basic formal policy to protect animal welfare. It uses leather, down and exotic animal hair. It states that it sources wool from non-mulesed sheep. It does not use fur, exotic animal skin or angora. There is no evidence it traces any animal product to the first stage of production.
VILA is rated 'Not good enough' overall.
Last Updated: August 2020"
Madewell,Madewell is not taking adequate steps to manage its greenhouse gas emissions.,2 out of 5,2 out of 5,2 out of 5,Not good enough,"Madewell's environment rating is 'not good enough'. It is a member of the Better Cotton Initiative. It uses some eco-friendly materials including recycled materials. There is no evidence it reduces its carbon and other greenhouse gas emissions. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it implements water reduction initiatives.
Its labour rating is 'not good enough'. There is no evidence it has worker empowerment initiatives such as collective bargaining or rights to make a complaint. It does not disclose where all of its final stage of production occurs. There is no evidence it ensures payment of a living wage in its supply chain. It traces some of its supply chain. It audits some of its supply chain but does not specify what percentage.
Its animal rating is 'not good enough'. It uses leather, wool, exotic animal hair and silk. It does not use fur, down, exotic animal skin or angora.
Madewell is rated 'Not good enough' based on information from our own research.
Last Updated: November 2019"
ALIX NYC,"ALIX NYC places a huge emphasis on the perfect fit, with their collections representing the most basic ideals of sportif sensibility and undderstated edginess",2 out of 5,2 out of 5,0 out of 5,Not good enough,"ALIX NYC's environment rating is 'not good enough'. It does not publish sufficient relevant information about its environmental policies to give a higher rating. As a shopper you have the right to know how its production practices impact on the environment.
Its labour rating is 'not good enough'. Its final stage of production is undertaken in the USA, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. There is no evidence it audits any of its supply chain.
This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
ALIX NYC is rated 'Not good enough' based on information from our own research.
Last Updated: March 2020"
Suzanne Rae,Suzanne Rae is a Brooklyn-based women's ready-to-wear fashion line inspired by and made for the progressive and modern woman,2 out of 5,2 out of 5,3 out of 5,Not good enough,"Suzanne Rae's environment rating is 'not good enough'. It uses some eco-friendly materials. There is no evidence it reduces its carbon and other greenhouse gas emissions. There is no evidence it has taken any meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it implements water reduction initiatives.
Its labour rating is 'not good enough'. There is no evidence it investigates and reports on safety incidents. It traces most of its supply chain including all of the final stage of production. There is no evidence it audits any of its supply chain.
Its animal rating is 'it's a start'. It does not use fur, down, exotic animal skin, exotic animal hair or angora. It uses leather and wool.
Suzanne Rae is rated 'Not good enough' based on information from our own research.
Last Updated: June 2019"
Hugo Boss,Hugo Boss is not taking adequate steps to ensure payment of a living wage for its workers.,2 out of 5,2 out of 5,2 out of 5,Not good enough,"HUGO BOSS's environment rating is 'not good enough'. It uses some eco-friendly materials including recycled materials. There is no evidence it has a policy to prevent deforestation in the supply chain. It has set a science-based target to reduce greenhouse gas emissions generated from its own operations and supply chain but there is no evidence it is on track to meet its target. There is no evidence it implements water reduction initiatives in most of its supply chain.
Its labour rating is 'not good enough'. Some of its supply chain is certified by FLA Workplace Code of Conduct including all of the final stage of production. It received a score of 41-50% in the Fashion Transparency Index. It likely publishes information about its supplier policies, audits and remediation processes. It publishes a detailed list of suppliers in the final stage of production and some information about the second stage of production. It may be publishing some information about forced labour, gender equality or freedom of association. There is no evidence it ensures payment of a living wage in its supply chain. It does not disclose any policies or safeguards to protect suppliers and workers in its supply chain from the impacts of COVID-19.
Its animal rating is 'not good enough'. It has a general statement about minimising animal suffering but not a formal animal welfare policy. It uses wool, leather, exotic animal hair and down. It does not use fur, angora or exotic animal skin. There is no evidence it traces any animal products to the first stage of production.
HUGO BOSS is rated 'Not good enough' overall.
Last Updated: August 2020"
SABA,SABA does not communicate sufficient information about its environmental policies.,1 out of 5,2 out of 5,3 out of 5,Not good enough,"SABA is owned by APG & Co..
Its environment rating is 'very poor'. It does not publish sufficient relevant information about its environmental policies to give a higher rating. As a shopper you have the right to know how its production practices impact on the environment.
Its labour rating is 'not good enough'. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. It has an internal grievance mechanism. It sources its final stage of production from countries with extreme risk of labour abuse. It traces most of its supply chain including all of the final and second stages of production. It audits some of its supply chain but does not state what percentage.
Its animal rating is 'it's a start'. It does not use fur, down, exotic animal skin, exotic animal hair or angora. It uses leather, wool and silk.
SABA is rated 'Not good enough' based on information from our own research.
Last Updated: May 2020"
White Stuff,White Stuff does not communicate sufficient information about its environmental policies,1 out of 5,3 out of 5,2 out of 5,Not good enough,"White Stuff's environment rating is 'very poor'. It does not publish sufficient relevant information about its environmental policies to give a higher rating. As a shopper you have the right to know how its production practices impact on the environment.
Its labour rating is 'it's a start'. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. It sources its final stage of production from countries with extreme risk of labour abuse. It does not disclose whether it pays a living wage at any stage of the supply chain. It traces suppliers in its final stage of production
Its animal rating is 'not good enough'. It uses leather and exotic animal hair. It states that it sources wool from non-mulesed sheep. It does not use fur, down, exotic animal skin and angora.
White Stuff is rated 'Not good enough' based on information from our own research.
Last Updated: June 2018"
F.A.M.T.,F.A.M.T. is known for t-shirts and hoodies with provocative yet succinct printed statements.,2 out of 5,2 out of 5,4 out of 5,Not good enough,"F.A.M.T.'s environment rating is 'not good enough'. It does not publish sufficient relevant information about its environmental policies to give a higher rating. As a shopper you have the right to know how its production practices impact on the environment.
Its labour rating is 'not good enough'. Most of its final stage of production is undertaken in France, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it investigates and reports on safety incidents. There is no evidence it ensures payment of a living wage in its supply chain. There is no evidence it audits any of its supply chain.
Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan.
F.A.M.T. is rated 'Not good enough' based on information from our own research.
Last Updated: November 2019"
HANEY,"Haney embodies the glamour of LA, redefining classic yet feminine pieces that exude a sense of confidence when worn.",2 out of 5,2 out of 5,4 out of 5,Not good enough,"Haney's environment rating is 'not good enough'. It does not publish sufficient relevant information about its environmental policies to give a higher rating. As a shopper you have the right to know how its production practices impact on the environment.
Its labour rating is 'not good enough'. There is no evidence it has a Code of Conduct. There is no evidence it investigates and reports on safety incidents. There is no evidence it ensures payment of a living wage in its supply chain. It traces some of its supply chain. There is no evidence it audits any of its supply chain.
Its animal rating is 'good'. It does not use fur, leather, wool, down, exotic animal skin, exotic animal hair or angora. It uses silk.
Haney is rated 'Not good enough' based on information from our own research.
Last Updated: April 2020"
Galeries Lafayette,Galeries Lafayette is not taking adequate steps to eliminate hazardous chemicals in its supply chain.,2 out of 5,2 out of 5,2 out of 5,Not good enough,"Galeries Lafayette's environment rating is 'not good enough'. There is no evidence it minimises textile waste in its supply chain. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it implements water reduction initiatives. It reduces greenhouse gas emissions from transportation to reduce its climate impact.
Its labour rating is 'not good enough'. It is a member of Business Social Compliance Initiative Code of Conduct - BSCI. There is no evidence it has worker empowerment initiatives such as collective bargaining or rights to make a complaint. It says it has a Code of Conduct but it does not publicly share it. There is no evidence it ensures payment of a living wage in its supply chain. It audits some of its supply chain but does not state what percentage.
Its animal rating is 'not good enough'. It uses leather, wool, exotic animal hair and silk. It does not use fur, down, exotic animal skin or angora.
Galeries Lafayette is rated 'Not good enough' based on information from our own research.
Last Updated: March 2020"
True Religion,True Religion does not communicate sufficient information about its environmental policies,2 out of 5,2 out of 5,2 out of 5,Not Good Enough,"True Religion is owned by Towerbrook Capital Partners.
Its environmental rating is 'not good enough'. It does not publish sufficient relevant information about its environmental policies to give a higher rating. As a shopper you have the right to know how its products impact on the environment.
Its labor rating is 'not good enough'. It covers most workers rights principles in its Code of Conduct and it applies across the entire supply chain. It sources from countries with high or extreme risk of labor abuse. It traces suppliers in its supply chain but it is unclear to what extent. Some of its supply chain is independently audited however once again, it is unclear how frequently and to what extent. There is no evidence it provides a living wage for its workers.
Its animal rating is 'not good enough'. It uses leather, wool and cashmere without stating its sources. It does not use down, angora or exotic animal hair or skin.
True Religion is rated 'Not Good Enough' based on information from our own research.
Last Updated: March 2017"
District Vision,District Vision researches and develops sports sunglasses and tools for runners,2 out of 5,2 out of 5,4 out of 5,Not good enough,"District Vision's environment rating is 'not good enough'. It does not publish sufficient relevant information about its environmental policies to give a higher rating. As a shopper you have the right to know how its production practices impact on the environment.
Its labour rating is 'not good enough'. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. It traces some of its supply chain. There is no evidence it audits any of its supply chain.
Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan.
District Vision is rated 'Not good enough' based on information from our own research.
Last Updated: January 2019"
GOLDSIGN,GOLDSIGN is not taking adequate steps to eliminate hazardous chemicals in its supply chain.,2 out of 5,2 out of 5,4 out of 5,Not good enough,"GOLDSIGN is owned by Citizens of Humanity.
Its environment rating is 'not good enough'. It does not use eco-friendly materials. It has a limited production run to minimise textile waste. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it implements water reduction initiatives.
Its labour rating is 'not good enough'. Its final stage of production is undertaken in the USA, a medium risk country for labour abuse. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. There is no evidence it ensures payment of a living wage in its supply chain. It traces some of its supply chain. There is no evidence it audits any of its supply chain.
Its animal rating is 'good'. It does not use fur, wool, down, exotic animal skin, exotic animal hair or angora. It uses leather.
GOLDSIGN is rated 'Not good enough' based on information from our own research.
Last Updated: January 2020"
Hot Sox,Hot Sox does not communicate sufficient information about its environmental policies,1 out of 5,2 out of 5,4 out of 5,Not Good Enough,"Hot Sox is owned by Renfro Corporation.
Its environment rating is 'very poor'. It does not publish sufficient relevant information about its environmental policies to give a higher rating. As a shopper you have the right to know how its products impact on the environment.
Its labor rating is 'not good enough'. It sources from countries with high or extreme risk of labor abuse. Its Supplier Code of Conduct applies across the entire supply chain and its subcontractors, but does not address worker empowerment. Some of its supply chain is independently audited and it uses unannounced audits, but does not provide information on whether it pays a living wage.
Its animal rating is 'good'. It does not use fur, wool, leather or angora. However it uses cashmere without stating its sources.
Hot Sox is rated 'Not Good Enough' based on information from our own research.
Last Updated: March 2017"
Giorgio Brato,"Unique, soft, handmade leather jackets and accessories.",2 out of 5,2 out of 5,2 out of 5,Not good enough,"Giorgio Brato's environment rating is 'not good enough'. There is no evidence it minimises textile waste. It manufactures locally to reduce its carbon footprint. There is no evidence it minimises packaging. There is no evidence it implements water reduction initiatives.
Its labour rating is 'not good enough'. Its final stage of production is undertaken in Italy, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. There is no evidence it audits any of its supply chain.
Its animal rating is 'not good enough'. It uses fur, leather, wool and down. It does not use exotic animal skin or angora.
Giorgio Brato is rated 'Not good enough' based on information from our own research.
Last Updated: November 2019"
AG Jeans,AG Jeans does not have adequate policies on carbon emissions and there is no evidence it provides a living wage for its workers,2 out of 5,2 out of 5,2 out of 5,Not Good Enough,"AG Jeans' environment rating is 'not good enough'. It uses a low proportion of eco-friendly materials (tencel) and recycles off-cuts created during the manufacturing process. It Implements efficient water and wastewater management to decrease water consumption and pollution, however it has not set a deadline on eliminating hazardous chemicals from its supply chain. It does not have adequate policies on energy use and carbon emissions.
Its labor rating is 'not good enough'. It does not have an adequate Supplier Code of Conduct or worker empowerment initiatives however it states it works to eliminate human trafficking and slavery. It uses unnunounced audits for its facories but it is unclear how often and which part of the supply chain it audits. Most of its production (final stage of production) is done in the US although it is unclear where its materials are sourced. There is no evidence it provides a living wage for its workers.
Its animal rating is 'not good enough'. It uses leather, wool and cashmere without specifying its sources. It does not use down, angora or fur.
AG Jeans is rated 'Not Good Enough' based on information from our own research.
Last Updated: March 2017"
Tiffosi,Tiffosi is a Portuguese brand of denim with over 35 years in building the perfect pair of jeans.,2 out of 5,1 out of 5,4 out of 5,Not good enough,"Tiffosi's environment rating is 'not good enough'. It uses some eco-friendly materials including organic cotton. There is no evidence it reduces its carbon and other greenhouse gas emissions. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it implements water reduction initiatives.
Its labour rating is 'very poor'. It does not publish sufficient relevant information about its labour policies to give a higher rating. As a shopper you have the right to know how its products impact on its workers.
Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan.
Tiffosi is rated 'Not good enough' based on information from our own research.
Last Updated: April 2020"
Alo,Alo does not communicate sufficient information about its environmental policies.,1 out of 5,2 out of 5,3 out of 5,Not good enough,"Alo is owned by Colour Image Apparel.
Its environment rating is 'very poor'. It does not publish sufficient relevant information about its environmental policies to give a higher rating. As a shopper you have the right to know how its production practices impact on the environment.
Its labour rating is 'not good enough'. There is no evidence it has worker empowerment initiatives such as collective bargaining or rights to make a complaint. Its factories are certified by Worldwide Responsible Accredited Production - WRAP. It sources its final stage of production from countries with extreme risk of labour abuse. There is no evidence it ensures payment of a living wage in its supply chain.
Its animal rating is 'it's a start'. It does not use fur, leather, exotic animal skin, exotic animal hair or angora. It uses wool and down.
Alo is rated 'Not good enough' based on information from our own research.
Last Updated: May 2020"
MARLE,"MARLE is a feminine, thoughtful and low-impact premium womenswear label, made exclusively from natural fibres and fabrics.",2 out of 5,2 out of 5,3 out of 5,Not good enough,"MARLE's environment rating is 'not good enough'. It uses few eco-friendly materials. There is no evidence it reduces its carbon and other greenhouse gas emissions. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it implements water reduction initiatives.
Its labour rating is 'not good enough'. There is no evidence it investigates and reports on safety incidents. It states it has a Code of Conduct but does not publicly share it. It does not disclose where its final stage of production occurs. There is no evidence it ensures payment of a living wage in its supply chain. It audits some of its suppliers.
Its animal rating is 'it's a start'. It does not use fur, leather, down, exotic animal skin or angora. It uses wool, exotic animal hair and silk.
MARLE is rated 'Not good enough' overall.
Last Updated: September 2020"
Benedetta,"Benedetta is an American brand that exudes the fascinating existence of a free spirit, creating a wanderlust society that honors the authentic crafts of creative cultures.",3 out of 5,2 out of 5,0 out of 5,Not good enough,"Benedetta's environment rating is 'it's a start'. It uses a high proportion of eco-friendly materials including recycled materials. There is no evidence it minimises textile waste when manufacturing its products. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'not good enough'. There is no evidence it has a Code of Conduct. There is no evidence it investigates and reports on safety incidents. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain. There is no evidence it audits any of its supply chain.
This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
Benedetta is rated 'Not good enough' overall.
Last Updated: August 2020"
Envelope1976,"Designed for a modern, and quality conscious woman with a sustainable approach.",3 out of 5,1 out of 5,2 out of 5,Not good enough,"Envelope1976's environment rating is 'it's a start'. It uses some eco-friendly materials including cupro. There is no evidence it reduces its carbon and other greenhouse gas emissions. It uses low impact non-toxic dyes in some of its products. There is no evidence it implements water reduction initiatives.
Its labour rating is 'very poor'. It does not publish sufficient relevant information about its labour policies to give a higher rating. As a shopper you have the right to know how its products impact on its workers.
Its animal rating is 'not good enough'. It uses leather, wool and exotic animal hair. It does not use fur, down, exotic animal skin or angora.
Envelope1976 is rated 'Not good enough' based on information from our own research.
Last Updated: January 2020"
Jaggad,Jaggad is an Australian brand that supports those on the path to the life they aspire to.,2 out of 5,1 out of 5,4 out of 5,Not good enough,"Jaggad's environment rating is 'not good enough'. It uses some eco-friendly materials including organic cotton. There is no evidence it reduces its carbon and other greenhouse gas emissions. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it implements water reduction initiatives.
Its labour rating is 'very poor'. It does not publish sufficient relevant information about its labour policies to give a higher rating. As a shopper you have the right to know how its products impact on its workers.
Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan.
Jaggad is rated 'Not good enough' based on information from our own research.
Last Updated: June 2020"
